,date,location,tweets
135,2019-04-16 20:07:08,"Victoria, Australia",Power Outage: 05:40AM: (5921 premises) - Mooroolbark (2832) Boronia (1564) Lilydale (828) Bayswater (697) Restorati… https://t.co/dnVY4Xm23t
136,2019-04-16 20:07:08,"Victoria, Australia",Power Outage: 05:40AM: (3660 premises) - Mooroolbark (2832) Lilydale (828) Restoration: 10:00AM 17/04 See https://t.co/QUolDTmtGT #vicPower
137,2019-04-16 20:07:08,"Victoria, Australia",Power Outage: 05:40AM: (1538 premises) - Mount Dandenong (481) Mount Evelyn (391) Olinda (213) Lilydale (187) Montr… https://t.co/9NKPS5K6As
138,2019-04-16 20:07:07,"Victoria, Australia",Power Outage: 05:40AM: (4417 premises) - Mooroolbark (2832) Lilydale (1577) Mount Evelyn (8) Restoration: 10:00AM 1… https://t.co/fKuKAdhCVG
139,2019-04-16 20:07:07,"Victoria, Australia",Power Outage: 05:40AM: (2394 premises) - Mount Evelyn (920) Lilydale (510) Mount Dandenong (481) Olinda (213) Montr… https://t.co/NSuJNP6gQy
140,2019-04-16 20:07:07,"Victoria, Australia",Power Outage: 05:40AM: (5185 premises) - Mooroolbark (2832) Lilydale (2322) Mount Evelyn (31) Restoration: 10:00AM… https://t.co/N7vmJAiPLz
141,2019-04-16 20:07:05,Shopping Centres in BigW,Power Outage in the Burbs #sendcandles
142,2019-04-16 20:06:47,chicago,uic had a power outage weeks after the grad strike was suspended and a week before the faculty strike is supposed t… https://t.co/Y8hPy6iDRm
143,2019-04-16 20:06:27,,"@CityPowerJhb @CityofJoburgZA @HermanMashaba Explosion heard, pothole re-construction at night?? power outage block… https://t.co/qbVYhwiasT"
144,2019-04-16 20:00:58,"Nairobi, Kenya","RT @redcrosscanada: A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver babi…"
145,2019-04-16 20:00:11,"Kansas, USA",@worldsoffun went to opening day this week. Man you guys need to step it up. Widespread power outage. So many rides… https://t.co/LbzUhEzcRR
146,2019-04-16 19:57:38,,@hydroottawa power outage in south Ashton.
147,2019-04-16 19:56:55,,"@CityPowerJhb @CityofJoburgZA @HermanMashaba Construction at pothole at night, CNR St. George's Road &amp; Cavendish St… https://t.co/ggzhGwIVSZ"
148,2019-04-16 19:56:24,"St. Albert, Alberta",RT @StA_ServusPlace: We are currently experiencing a power outage. The Landrex Water Play Centre and the fitness centre are closed until po…
149,2019-04-16 19:54:43,Northwest Territories,Colville Lake - Full Community Power Outage 1:54 PM Status: Planned maintenance - More info: https://t.co/mEl8r62Bxh
150,2019-04-16 19:54:06,HCISD,RT @LVECHSPrincipal: There is currently a power outage at La Villa Early College High School. AEP is expecting to restore power at approxim…
151,2019-04-16 19:54:01,"Denver, CO",RT @grandlebowski: Check out my colleagues get trapped in an elevator during a power outage at @MtSAC  https://t.co/4dCD98ityT via @YouTube
152,2019-04-16 19:53:41,Cape Cod Massachusetts,Jonathan Bourne Library is suffering from a partial power outage. Please call first before visiting to be sure the… https://t.co/LvHwPYcJ3B
153,2019-04-16 19:52:29,At Home,"Net finally came back, lasted for 10 minutes, then a power outage happened for several hours. Let's hope both of th… https://t.co/54aSQVwcEF"
154,2019-04-16 19:50:32,"East Midlands, England",A power outage while I’m studying? My textbook is online. I can’t even read by flashlight 😂.
155,2019-04-16 19:49:19,43545 - 60612,"RT @LillyDiaz_: UIC just got off a strike, today has a power outage &amp; fire alarms going off &amp; professors might go on strike next week. Just…"
156,2019-04-16 19:49:09,"Islamabad, Pakistan",upto 100 Km are likely to cause serious damage. Avoid unusual outside exposure n keep cars under cover۔Keep your de… https://t.co/OME7dHc58G
157,2019-04-16 19:47:00,"We're here from 8-5, Mon-Fri.",@iam6_fifty I'm sorry that you're without power. That's especially frustrating when  weather conditions appear to b… https://t.co/f8ol27af70
158,2019-04-16 19:45:02,"Victoria, Australia",Power Outage: 05:40AM: (3145 premises) - Mount Evelyn (1057) Mount Dandenong (597) Kalorama (575) Lilydale (510) Ol… https://t.co/68MsahWdzn
159,2019-04-16 19:44:15,France,RT @shieldofcastiel: men of letters really made the emergency lights/crisis mode bunker as terrifiying as possible. you about to die?? ya'l…
160,2019-04-16 19:43:55,,"@KenyaPower_Care Power outage since 4pm at Kinoo-Muthiga area, along Waiyaki way. Mtr. No. 142 395 448 78. This was… https://t.co/wSoF34ubpN"
161,2019-04-16 19:43:55,"St. Albert, Alberta",We are currently experiencing a power outage. The Landrex Water Play Centre and the fitness centre are closed until… https://t.co/htY8LvgI8B
162,2019-04-16 19:40:08,"Texas, USA","HAPPENING NOW: Please use caution on the roadways! Updates will be given when they are made available.
https://t.co/5tr3rV89bx"
163,2019-04-16 19:36:06,non binary,RT @shieldofcastiel: men of letters really made the emergency lights/crisis mode bunker as terrifiying as possible. you about to die?? ya'l…
164,2019-04-16 19:34:39,"Chesapeake, VA",RT @maddenchamp2017: @gruntgustinn I live in the Hampton Roads area. I am a huge flash fan. My name is Bryce Patton. I have duchennes Muscu…
165,2019-04-16 19:33:49,,Power outage 🙃🙃 now really 🙂
166,2019-04-16 19:33:42,"McKeesport, PA","Due to the power outage, the campus will close at 3:45pm on 4/16/19.  Watch for updates on the 4/17/19 opening. https://t.co/pNXWp1LjGg"
167,2019-04-16 19:33:10,Bed,RT @dog_feelings: the human likes to cover my eyes with my ears. and pretend there’s been a power outage. i go along with this. because it…
168,2019-04-16 19:32:41,"Chesapeake, VA",@gruntgustinn I live in the Hampton Roads area. I am a huge flash fan. My name is Bryce Patton. I have duchennes Mu… https://t.co/oEmDlypzd0
169,2019-04-16 19:30:37,"Chicago, IL","RT @brittlaguerra: Our TA’s went on strike, now our professors might go on strike, and there’s a power outage that took out all the buildin…"
170,2019-04-16 19:29:44,,"01PSU AlertG-A: Due to the power outage, the campus will close at 3:45pm on 4/16/19.  Watch for updates on the 4/17… https://t.co/Wq7pzD4jXB"
171,2019-04-16 19:29:18,"British Columbia, Canada","RT @redcrosscanada: A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver babi…"
172,2019-04-16 19:26:42,"Islamabad, Pakistan",Anyone else suffering from a power outage from 5pm? UPS has officially died. #Lahore
173,2019-04-16 19:26:14,1/25🧡,"UIC had a 3 week TA strike, power outage, and a possible faculty strike next week.. all I ask is that they run me m… https://t.co/nADy8IScL6"
174,2019-04-16 19:25:09,"Victoria, BC, Canada","RT @redcrosscanada: A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver babi…"
175,2019-04-16 19:23:00,,"Our TA’s went on strike, now our professors might go on strike, and there’s a power outage that took out all the bu… https://t.co/vjz5FjIdhu"
176,2019-04-16 19:21:28,Canada,"A team of healthcare workers, including Canadian, Finnish and local Mozambican staff, improvises to safely deliver… https://t.co/kk3dJm1k37"
177,2019-04-16 19:20:14,"Owings, MD",Generac's Guardian® Series provides the automatic backup power you need to protect your home and family during a po… https://t.co/6D4iYaD1Wl
178,2019-04-16 19:20:04,"Bay Area, California, USA",When there is a power outage on the whole block so you are dismissed from work early🙌🙌.  Can catch the #UCL games peacefully.
179,2019-04-16 19:18:41,,CLRD: Inc: NCCO - TRAFFIC SIGNALS DARK ALONG RT 40 IN AREA OF PEOPLES PLAZA DUE TO A POWER OUTAGE / PLEASE USE CAUTION IN THIS AREA
