datetime,aerial_(fly-over),drills/exercises,environmental,fire,infrastructure,mass_transit_disruption,mass_transit_restoration,missing_adult,missing_child/adolescent,parking,public_awareness,public_health,road_closure,school_notification,structural,utility,weather,temperature_f,wind_dir_degrees,wind_speed_mph,broken_clouds,drizzle,dust,few_clouds,fog,freezing_rain,haze,heavy_intensity_drizzle,heavy_intensity_rain,heavy_snow,heavy_thunderstorm,light_intensity_drizzle,light_intensity_shower_rain,light_rain,light_rain_and_snow,light_snow,mist,moderate_rain,overcast_clouds,proximity_thunderstorm,proximity_thunderstorm_with_drizzle,proximity_thunderstorm_with_rain,sand,sand/dust_whirls,scattered_clouds,shower_rain,sky_is_clear,smoke,snow,squalls,thunderstorm,thunderstorm_with_heavy_rain,thunderstorm_with_light_drizzle,thunderstorm_with_light_rain,thunderstorm_with_rain,very_heavy_rain,outage
2012-10-07 23:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58.73,320.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.07,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-10 08:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.65,10.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.61,60.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11 08:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.32,70.0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-13 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41.65,240.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-10-13 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.77,310.0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15 06:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.88,210.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15 18:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67.06,245.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-15 22:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68.88,200.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16 07:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.72,190.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-16 09:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.7,180.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16 10:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.45,180.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16 17:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.64,240.0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.24,220.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61.23,260.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17 05:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57.27,310.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17 06:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56.32,310.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17 07:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55.04,310.0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.31,330.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
